query,status,timestamp,website_id,Sum of id,Sum of response_time,Sum of user_session,results
What should I use for dry lips?,success,2025-03-04 06:26:08,208,57,1.51,120,https://avon.uk.com/collections/lip-balm
What should I use for dry lips?,success,2025-03-04 06:26:07,208,56,1.12,120,https://avon.uk.com/collections/lip-balm
"I want a face mask for glowing skin, preferably under £5. What do you suggest?",success,2025-03-04 06:16:14,208,55,1.18,120,https://avon.uk.com/collections/face-masks?pf_p_price=%3A5
"I want a face mask for glowing skin, preferably under £5. What do you suggest?",success,2025-03-04 06:16:13,208,54,1.82,120,https://avon.uk.com/collections/face-masks?pf_p_price=%3A5
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 05:33:33,208,53,1.21,119,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 05:33:31,208,52,1.6,119,https://avon.uk.com/collections/blusher?sort=price-ascending
What should I use for dry lips?,success,2025-03-04 05:22:35,208,51,1.25,119,https://avon.uk.com/collections/lip-balm
What should I use for dry lips?,success,2025-03-04 05:22:33,208,50,1.31,119,https://avon.uk.com/collections/lip-balm
What should I use for dry lips?,success,2025-03-04 05:21:51,208,49,1.58,119,https://avon.uk.com/collections/lip-balm
What should I use for dry lips?,success,2025-03-04 05:21:50,208,48,5.22,119,https://avon.uk.com/collections/lip-balm
What should I use for dry lips?,success,2025-03-04 04:39:43,208,47,1.1,117,https://avon.uk.com/collections/lip-balm
What should I use for dry lips?,success,2025-03-04 04:39:42,208,46,1.54,117,https://avon.uk.com/collections/lip-balm
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:36:48,208,45,1.6,117,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:36:47,208,44,1.41,117,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:35:50,208,43,4.4,117,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:35:45,208,42,1.22,117,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:35:09,208,41,1.45,117,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:35:07,208,40,1.66,117,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:35:06,208,39,1.22,117,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:35:04,208,38,1.47,117,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:34:07,208,37,1.97,118,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:34:05,208,36,1.21,118,https://avon.uk.com/collections/blusher?sort=price-ascending
I'm looking for a skincare set as a gift. Something under £30 would be perfect!,success,2025-03-04 04:33:23,208,35,1.98,118,https://avon.uk.com/collections/skincare-sets?pf_p_price=%3A30
I'm looking for a skincare set as a gift. Something under £30 would be perfect!,success,2025-03-04 04:33:21,208,34,5.21,118,https://avon.uk.com/collections/skincare-sets?pf_p_price=%3A30
Can you show me some of your newest skincare products?​,success,2025-03-04 04:32:52,208,33,1.87,117,https://avon.uk.com/collections/skincare
Can you show me some of your newest skincare products?​,success,2025-03-04 04:32:50,208,32,1.27,117,https://avon.uk.com/collections/skincare?sort=created-descending
Can you show me some of your newest skincare products?,success,2025-03-04 04:32:32,208,31,1.07,118,https://avon.uk.com/collections/skincare
Can you show me some of your newest skincare products?,success,2025-03-04 04:32:31,208,30,1.09,118,https://avon.uk.com/collections/skincare
Can you show me some of your newest skincare products?,success,2025-03-04 04:32:03,208,29,1.26,117,https://avon.uk.com/collections/skincare?sort=created-descending
Can you show me some of your newest skincare products?,success,2025-03-04 04:32:01,208,28,4.68,117,https://avon.uk.com/collections/skincare?sort=created-descending
"I want a face mask for glowing skin, preferably under £5. What do you suggest?",success,2025-03-04 04:30:13,208,27,1.15,118,https://avon.uk.com/collections/face-masks?pf_p_price=%3A5
"I want a face mask for glowing skin, preferably under £5. What do you suggest?",success,2025-03-04 04:30:12,208,26,1.16,118,https://avon.uk.com/collections/face-masks?pf_p_price=%3A5
I want a skincare gift set for my girlfriend. Something less than £30.,success,2025-03-04 04:16:15,208,25,1.54,117,https://avon.uk.com/collections/skincare-sets?pf_p_price=20%3A30
I want a skincare gift set for my girlfriend. Something less than £30.,success,2025-03-04 04:16:13,208,24,1.33,117,https://avon.uk.com/collections/skincare-sets?pf_p_price=30%3A
I want a skincare gift set for my girlfriend. Something less than £30.,success,2025-03-04 04:15:47,208,23,1.4,117,https://avon.uk.com/collections/skincare-sets?pf_p_price=30%3A
I want a skincare gift set for my girlfriend. Something less than £30.,success,2025-03-04 04:15:46,208,22,3.02,117,https://avon.uk.com/collections/skincare-sets?pf_p_price=20%3A30
man's flannel shirt,success,2025-02-28 16:44:07,201,21,1.66,116,https://global.llbean.com/search?q=men%20flannel%20shirt
food and toys,success,2025-02-28 16:43:30,201,20,1.36,115,https://global.llbean.com/search?q=pets%20food%20and%20toys
Raining jacket and shoes for babies,success,2025-02-28 16:39:21,201,19,1.71,114,https://global.llbean.com/search?q=baby%20rain%20jacket%20and%20shoes
please show me black jacket and not expensive,success,2025-02-28 16:38:07,201,18,1.34,113,https://global.llbean.com/search?q=jacket&prefn1=colorFamily&prefv1=Black
travel accessories,success,2025-02-28 16:37:12,201,17,1.18,112,https://global.llbean.com/search?q=travel%20accessories
man casual jacket,success,2025-02-28 16:36:49,201,16,1.52,111,https://global.llbean.com/search?q=men%20casual%20jacket
please show me white and black color,success,2025-02-28 16:35:55,201,15,1.34,110,https://global.llbean.com/search?q=baby%20school%20bag&prefn1=colorFamily&prefv1=White%7CBlack
baby school bag,success,2025-02-28 16:35:35,201,14,1.63,110,https://global.llbean.com/search?q=baby%20school%20bag
and also pillow,success,2025-02-28 16:34:51,201,13,1.52,109,https://global.llbean.com/search?q=flannel%20blanket%20and%20pillow
I find flannel blanket,success,2025-02-28 16:34:39,201,12,1.27,109,https://global.llbean.com/search?q=flannel%20blanket
please red color L size,success,2025-02-28 16:33:23,201,11,1.53,108,https://global.llbean.com/search?q=women%20flannel%20shirt&prefn1=colorFamily&prefv1=Red&prefn2=size&prefv2=Large
woman flannal shirts,success,2025-02-28 16:33:01,201,10,1.27,108,https://global.llbean.com/search?q=woman%20flannel%20shirts
hiking shoes,success,2025-02-28 15:55:39,202,9,2.77,206,https://adidas.co.th/en/hiking-shoes
lunch box,success,2025-02-28 16:05:25,205,9,1.63,106,https://www.rubbermaid.com/food-storage/meal-prep-containers/
lunch box,success,2025-02-28 16:05:23,205,8,1.25,106,https://www.rubbermaid.com/food-storage/meal-prep-containers/
shelters,success,2025-02-28 16:04:32,203,7,1.49,105,https://colemanaustralia.com.au/shelters/instant-shelters-canopies
shelters,success,2025-02-28 16:04:30,203,6,1.79,105,https://colemanaustralia.com.au/shelters/instant-shelters-canopies
men please,success,2025-02-28 15:54:15,201,3,1.66,101,https://global.llbean.com/search?q=men%20shirt
shirt,success,2025-02-28 15:53:14,201,2,1.01,101,https://global.llbean.com/search?q=shirt
woman jacket,success,2025-02-28 15:53:02,201,1,1.76,102,https://global.llbean.com/search?q=women%20jacket
